gene_id	transcript_id	strand	size	H1_rep1	H1_rep2	H1_rep3	H1_rep4	HFF_rep1	HFF_rep2	K562_rep1	K562_rep2
ENSG00000000003.14	ENST00000373020.8	-	2206	48.7794240181531	44.1284516177494	46.6578682074504	107.010283826915	51.5628731956952	42.3837994359418	0.209363484100372	0
ENSG00000000005.5	ENST00000373031.4	+	1339	1.75291610474156	2.34125788439264	2.66450892308221	2.21250195218384	0.867611708356584	1.36038885405534	0.264459137810996	0.375234911562516
ENSG00000000419.12	ENST00000371588.9	-	1075	26.3201864261518	24.8578722932629	24.7553152391795	42.510924040224	57.4015180255162	45.5512719916527	63.2466621367275	64.1873294192116
ENSG00000000457.13	ENST00000367772.8	-	3090	10.5023852827188	12.7256325661091	9.01443915553628	16.4661053740571	30.6010469211555	29.6616981270148	29.2605146049452	29.1737757225849
ENSG00000000460.16	ENST00000496973.5	+	782	13.5888776481797	11.2450880570327	11.6934291053744	14.5453960328943	4.35170023531054	3.64027294635279	21.972146699797	23.5940030415942
ENSG00000000938.12	ENST00000399173.5	-	2483	3.77028075976741	5.68129579474952	3.77954798328509	3.89496573062459	4.45537710612044	4.79471807196905	4.3257958970513	4.71998245055999
ENSG00000000971.15	ENST00000359637.2	+	1454	0.77823430512233	0.229131888309443	0.709570311038197	0.315849980546764	111.419896056183	87.4854759641007	45.1485269735547	42.1769949807473
ENSG00000001036.13	ENST00000002165.10	-	2356	53.7850572913914	65.8783554772765	50.1477956556179	96.1790352311134	127.042363484012	118.133383494908	99.9907406771101	105.771925976587
ENSG00000001084.12	ENST00000513939.6	-	1800	35.6929986155135	31.2706275776157	34.4938057325099	67.7028701544968	25.6272854609855	21.3224274331788	26.3561865736281	24.806868641566
ENSG00000001167.14	ENST00000353205.5	+	1660	36.0330038944504	34.1847151827819	33.4004882124408	57.6197281465261	13.5762133986867	13.4501558981975	43.9694799841473	41.4457300940408
ENSG00000001460.17	ENST00000337248.8	-	2715	17.2760460064292	15.3870875764726	10.5639090184156	12.9149272143962	9.78109425930299	8.85848093877403	10.1958442595347	12.037063226029
ENSG00000001461.16	ENST00000374399.8	+	1711	11.2655082421106	10.2081193830169	8.70309708028482	14.3769944462146	60.9592716975193	62.4908688097406	36.4953610179175	37.7702007240899
ENSG00000001497.16	ENST00000374807.9	-	2386	80.2261344833874	52.4447641280575	50.7053151857193	75.9910219781809	16.6783345068673	17.2702670299478	108.278701156723	100.13453848634
ENSG00000001561.6	ENST00000321037.4	+	4651	8.70791297721831	9.69991660509976	8.33383089800984	23.2370908292672	3.13758951135242	1.90860525792839	0.939774436149791	0.542170128123792
ENSG00000001617.11	ENST00000413852.5	+	3212	75.0051645334891	65.3936534058527	61.0520088027967	69.957278492306	33.8859667226062	40.4693929462264	14.2241236265486	14.3460875046598
ENSG00000001626.15	ENST00000648260.1	+	2723	3.4567203358589	2.88471172204965	4.7570172893071	4.91003151577242	2.07353741619812	1.31397899975921	1.7158360727023	1.04888498901333
ENSG00000001629.9	ENST00000265742.7	+	6081	125.677284604391	118.434747961177	124.783007555431	178.953459371356	266.902462206576	236.405996552705	157.814416327177	135.538100122544
ENSG00000001630.16	ENST00000003100.12	-	3210	56.5768784151069	49.7598084112007	48.9893135151474	101.262124598635	59.1285564261128	43.6890765880205	180.002223157213	182.41291801183
ENSG00000001631.15	ENST00000394503.6	-	2827	37.5214714489077	38.7673529489708	32.6691963612688	62.5025981160598	98.2065517053309	78.0787786214536	106.860381614058	102.319469329651
ENSG00000002016.17	ENST00000358495.7	-	2710	14.2764438789189	20.2458586439575	16.7617884699329	20.0514294775609	17.5650445861625	20.884434433259	30.1436192258498	30.083794248264
ENSG00000002330.13	ENST00000544785.1	-	525	8.59835572067196	6.71826446876534	11.0635044414935	7.22729943201968	8.52878679346755	11.4313272363158	10.2257533286919	9.1696184884588
ENSG00000002549.12	ENST00000606142.5	+	1876	19.7089726690447	18.774126899816	19.0135881304725	36.6626551129503	30.3609531150694	26.9612247301587	31.9176992753319	35.495154409892
ENSG00000002586.19	ENST00000624481.4	+	1089	26.5846349764361	24.9283744127427	32.5678291739776	27.8592099549098	246.868271091914	221.720178283873	34.2348650542473	30.9834716543332
ENSG00000002587.9	ENST00000002596.5	-	8031	4.34073406109494	8.58363304666914	6.46577844650112	7.64558724409512	4.13343313886863	5.29652462154597	3.70557625242313	2.52175588203628
ENSG00000002726.20	ENST00000493429.5	+	3135	2.47826069980703	4.47982217528078	7.08122208362609	3.33466183392984	2.57009506060346	3.59386309205666	9.30329466942255	7.4116281547604
ENSG00000002745.12	ENST00000361301.6	+	1230	1.05023852827188	0.769648137654796	1.08607700669112	1.01506578514783	1.3041459012404	1.39229562888393	0.74930089046449	0.384098728371079
ENSG00000002746.14	ENST00000453890.5	+	5169	47.680073616257	42.2895213346505	28.1728375535676	26.0409384452757	23.8729636733337	21.8039296715011	4.68155640386847	4.2812235185361
ENSG00000002822.15	ENST00000399654.6	-	2762	93.7583445850777	64.606379738328	56.4832448613161	42.5279970121454	24.2140060115241	28.5130542331856	60.0400950907691	67.4403501879543
ENSG00000002834.17	ENST00000435347.7	+	3492	280.391020029997	196.471781460412	197.506723923469	236.288379304466	729.178530777009	646.779331934458	227.867752939469	227.941913049015
ENSG00000002919.14	ENST00000359238.6	+	2315	28.9684497654273	32.768797616562	36.4125417776642	28.9053175071875	25.8182691703722	29.0583700211651	52.5376412169167	49.4911211506135
ENSG00000002933.8	ENST00000484928.5	+	1530	2.55003959202705	2.38238412075588	4.53980188796887	1.21373309477921	1.09133548220954	0.768663211779672	1.37581718123102	2.8866496739888
ENSG00000003056.7	ENST00000000412.7	-	2756	58.4280182670969	53.2761016202572	47.9539201021018	73.0536947635139	88.0134783014938	82.3977956868873	94.6590555594562	87.92019892414
ENSG00000003096.14	ENST00000469946.5	-	2353	11.3788433350896	8.93614364406828	13.5976841237728	18.1431368432501	1.86618367457831	1.02101679451489	4.05818843617112	4.06701461232915
ENSG00000003137.8	ENST00000412253.1	-	4025	3.34338524287991	5.29940931423379	4.0112444113792	3.83365824054303	9.38548514700204	7.42557668738098	3.95586793642282	2.53061969884484
ENSG00000003147.18	ENST00000401396.5	-	1742	21.3183309893462	19.6612785699372	18.8687778629137	32.3664745421717	2.55372502837032	0.94850139717718	55.9079210624723	47.0358438946415
ENSG00000003249.13	ENST00000002501.10	-	2079	94.1890179383978	80.7983665121953	77.7196705988164	62.359029943084	4.51267221893644	6.69172086632341	19.9792581970069	19.3718716351152
ENSG00000003393.14	ENST00000264276.10	-	6644	71.2953291566438	77.5758321343048	61.1026923964423	101.966772712484	195.616428508649	175.173995040747	45.9844067484216	43.8241876043387
ENSG00000003400.14	ENST00000313728.11	+	1521	2.65204117570814	5.03208877787277	4.09813057191448	4.62444725817731	4.58088068657454	5.89115087971515	64.0463361962988	59.285638724076
ENSG00000003402.19	ENST00000423241.6	+	2128	1.65091452106048	4.115561224635	5.29281527927471	1.7600681962655	82.6277376967897	80.3615633296446	33.4147268947263	29.7942428991843
ENSG00000003436.15	ENST00000233156.8	-	3885	4.26139949600965	2.12975152595316	4.14881416556007	7.73871254548483	103.551367229452	90.7602713078715	57.2396617207348	62.1737657008663
ENSG00000003509.15	ENST00000336237.10	+	1869	33.3809627187423	36.0500837606857	30.2943079733042	57.8618539301393	23.80202686699	24.1621303929233	28.8339168290716	31.5285963880599
ENSG00000003756.16	ENST00000347869.7	+	3188	88.4315952150656	81.2155040524509	77.9803290804223	121.574304920087	149.654834675394	120.497385448118	210.037225237176	206.525454336725
ENSG00000003987.13	ENST00000180173.9	-	3850	20.0980898216058	20.3868628829171	16.6459402558859	24.4911782213153	4.59997905751321	6.02167859492302	1.01848251287925	1.10502249546757
ENSG00000003989.17	ENST00000522656.5	+	2274	37.1663548242402	32.5426033165642	22.3514647977032	44.6939363136344	1.39963775593373	2.27988409229744	1.05468822817481	1.19070605795034
ENSG00000004059.10	ENST00000000233.9	+	1103	71.0988816621469	55.0327794306296	65.656975311167	69.5824491542125	29.0076971171295	34.8479993446075	98.1395267124331	98.1283612820021
ENSG00000004139.13	ENST00000585482.5	+	10309	82.5457260530239	81.2654430537491	69.9868023111756	51.2608221499654	140.323916302503	143.754523682266	13.3000908057447	16.3227186529694
ENSG00000004142.11	ENST00000618887.2	-	1524	51.2765739001233	42.389399337247	41.7850027040963	54.8003596469526	43.2905502405469	45.6905015545411	62.1321557702383	61.1706770986972
ENSG00000004399.12	ENST00000324093.8	-	7094	150.886787119349	125.370393965005	136.273702286224	90.4021623682384	159.648739353728	160.256127500434	131.244143784845	131.883252991813
ENSG00000004455.16	ENST00000480134.5	-	811	15.7346887419151	13.7420381219433	13.0908481873169	19.7743817059265	11.2762238699301	10.7206763424063	51.1838622971699	55.7607942398707
ENSG00000004468.12	ENST00000226279.7	+	5668	3.66827917608633	2.44701106361239	5.1842075786056	3.06537450407793	8.77979395437574	8.55391626995567	3.10109822314085	3.04767567934437
ENSG00000004478.7	ENST00000630279.1	+	156	8.48502062769298	8.77163869861535	13.699051311064	5.89095135707735	2.04079735173184	2.14645576119607	7.24743970524897	7.52094856206601
ENSG00000004487.16	ENST00000356634.7	+	3033	322.090778573396	264.61795511429	253.005258965385	421.790099451875	100.588391395253	96.5150932405917	378.269442600266	384.543396514308
ENSG00000004534.14	ENST00000266022.8	+	3750	112.409523052985	112.973771289802	100.186983610567	144.774921672977	97.8436826574962	92.2714921883892	172.960998612995	161.501696857627
ENSG00000004660.14	ENST00000381769.6	-	3508	22.5423499935192	19.8110955738318	18.0143972843167	20.656743936594	14.3756166394052	16.0172009639523	20.3680760960505	22.5539818693895
ENSG00000004700.15	ENST00000421138.6	-	2572	27.5290940845943	19.0032587881255	20.5558174799739	56.9391374022029	76.7672661573245	69.7540110070851	47.0265016843197	51.6863931135344
ENSG00000004766.16	ENST00000251739.9	+	1193	4.42384646261286	4.45044629216418	4.50359932107917	8.72584074021575	15.0686146706082	15.381966083274	13.4417653438577	15.0330333073235
ENSG00000004776.12	ENST00000004982.5	-	1457	2.87493352523346	1.78605369348899	1.99114117893372	1.04610755227773	41.7244838235762	41.9487070519155	2.85552902374493	3.57359547665246
ENSG00000004777.18	ENST00000378944.9	+	4219	89.353387304628	51.0582224449542	59.2346399449336	31.7254620509392	9.00078938952317	9.96941682598767	101.174510151121	106.927176767303
ENSG00000004779.9	ENST00000007516.7	-	717	44.008016603738	36.3555929450983	40.0834820602802	62.2232222118907	31.3649817587022	26.4188095580727	72.3248517067037	78.175909645926
ENSG00000004799.7	ENST00000005178.5	-	3576	1.13712876622243	2.74370748309	2.3966099280984	1.59554683047702	5.34208718541569	2.95862821137836	11.0758005573701	11.8760372206735
ENSG00000004809.13	ENST00000330550.8	-	2033	0.850013197342351	1.65092463115265	1.16572265384847	0.675158435075392	2.62739017341947	1.92020772150243	1.12709965876591	1.05479420021904
ENSG00000004838.13	ENST00000360165.7	-	1757	1.86625119772054	3.91874280775381	0.962988279266124	2.07591817681227	3.49500188177605	4.14788072771672	3.61112656034777	4.43043110148025
ENSG00000004846.16	ENST00000404938.6	+	5811	1.19757414914456	3.01690319607433	0.883342632108776	2.5462009488303	3.08575107594747	4.36252630383633	1.1003389126779	1.56150906110858
ENSG00000004848.7	ENST00000379044.4	-	2876	1.53002375521623	2.40294723893749	5.6982840284394	2.34210132995119	1.57152309438174	2.16966068834413	1.35850140435054	1.62355577876852
ENSG00000004864.13	ENST00000265631.9	-	3136	100.464004253001	73.9302850395353	76.7204797526606	144.80906761682	21.7012060637367	23.4224733400787	73.2457362044385	76.93792989833
ENSG00000004866.20	ENST00000393451.7	+	2110	18.6587341407728	17.8399738167083	15.4874581154153	26.0432665778104	31.2885882749475	29.2179038953081	54.8595294804359	55.7090886418207
ENSG00000004897.11	ENST00000531206.5	-	3177	32.8142872538474	35.5741944541969	26.6161271773103	60.5749043772928	120.849034622473	97.6492340549534	98.9454974181428	99.8878289185019
ENSG00000004939.14	ENST00000262418.11	-	4958	7.46122695444953	9.13883723757279	9.46335098496861	5.04040693771801	5.91776665228122	6.20151678032052	7.84089860378913	8.61710724072501
ENSG00000004948.14	ENST00000360249.8	-	1502	1.46202269942884	0.62276872207182	3.301674100341	4.70515585271506	1.02312701457144	0.391583145623607	0.571420637055903	0.707628041883641
ENSG00000004961.14	ENST00000380762.4	+	1072	14.0573293658262	7.59072819732822	7.06674105687021	20.1204974094249	20.6398823072879	17.0295159107866	21.109506178842	22.8597835492849
ENSG00000004975.11	ENST00000005340.9	-	3018	94.8236944590801	75.3726409005601	67.7712052175257	70.762812349327	29.4769713744796	32.379575219232	83.9468863165763	85.2374170367481
ENSG00000005001.9	ENST00000571228.1	-	1037	3.99317310929273	2.97871454802276	3.57681360870275	1.3929992999544	2.20449767406327	1.81578554933613	0.788654928829221	1.74617191128698
ENSG00000005007.12	ENST00000599848.5	+	5311	166.564808314775	113.658229366419	127.910909334702	121.602242510504	81.0398445701748	80.854668031541	214.945460902026	222.989994058631
ENSG00000005020.12	ENST00000345317.6	-	3998	6.30898684249656	8.93026846744496	8.82618580770982	10.7125138365295	48.7063025710117	38.2040119333965	24.2735708633665	26.8795244719684
ENSG00000005022.5	ENST00000317881.8	+	1274	159.447364475695	116.936577922231	152.058021450134	230.620928670724	44.1172368683206	43.7180827469555	234.098284293373	273.444316635775
ENSG00000005059.15	ENST00000394650.6	+	2278	15.0660116933391	12.1704283752054	14.4520647023698	22.3570567311344	15.0795280254303	17.5719310828727	7.18919572846917	7.87402393160712
ENSG00000005073.5	ENST00000006015.3	-	2295	1.5035789001878	2.12387634932984	2.97585099833366	0.918836307045131	57.030463961565	57.2610583537453	1.32859233519334	1.66344295440706
ENSG00000005075.15	ENST00000292614.9	-	932	18.9194048546244	15.1726436297215	12.598493277617	15.2469399700301	5.85228652334865	5.48796527051751	22.2791081990419	25.3283565304698
ENSG00000005100.12	ENST00000433302.7	-	2225	107.094107192271	84.9286156783886	88.5007950185702	107.306732703005	19.9496126147904	15.8837726328509	19.2677371833726	19.9169963688419
ENSG00000005102.12	ENST00000549132.1	-	1152	0.28333773244745	2.0974380545249	3.18582588629395	0.780700443317062	0.690269692497533	1.28497284082413	0.755597536602847	0.717969161493632
ENSG00000005108.15	ENST00000617773.1	-	10583	17.0758206754997	19.8727849283767	17.9057895836476	16.3155528034771	5.1592884921456	6.54088883986098	3.25221773046142	4.43190840428168
